latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.697715,110.37447,210.0,28800,Asia/Singapore,GMT+8

time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),wind_gusts_10m_max (km/h),weather_code (wmo code),precipitation_sum (mm),precipitation_hours (h)
2020-07-26,29.6,17.0,33.4,32.0,3,0.00,0.0
2020-07-27,29.0,17.6,30.8,34.2,3,0.00,0.0
2020-07-28,28.2,20.4,30.1,38.9,51,0.20,2.0
2020-07-29,28.3,19.9,30.1,38.9,51,2.00,10.0
2020-07-30,28.0,16.5,30.3,30.2,3,0.00,0.0
2020-07-31,28.1,17.3,30.5,31.0,51,0.60,6.0
2020-08-01,29.5,19.6,31.7,32.4,3,0.00,0.0
2020-08-02,28.6,18.3,31.4,32.4,3,0.00,0.0
2020-08-03,30.0,19.3,33.5,34.9,3,0.00,0.0
2020-08-04,28.5,20.5,32.7,31.0,51,0.10,1.0
2020-08-05,29.8,21.4,33.3,29.9,3,0.00,0.0
2020-08-06,30.7,21.0,34.1,24.8,3,0.00,0.0
2020-08-07,29.8,19.5,33.1,29.5,3,0.00,0.0
2020-08-08,30.1,19.9,33.2,28.1,3,0.00,0.0
2020-08-09,30.9,20.3,33.6,34.2,3,0.00,0.0
2020-08-10,31.7,20.4,35.3,39.6,53,0.70,2.0
2020-08-11,31.0,21.0,35.4,27.7,63,12.10,10.0
2020-08-12,29.5,22.3,34.3,26.3,63,6.10,16.0
2020-08-13,27.3,22.5,31.5,36.0,63,11.40,13.0
2020-08-14,29.2,21.5,34.6,28.1,63,13.00,13.0
2020-08-15,30.8,21.9,36.8,27.4,61,6.70,12.0
2020-08-16,28.0,22.4,33.0,23.8,53,3.00,12.0
2020-08-17,30.1,20.5,35.1,36.0,51,0.60,4.0
2020-08-18,30.1,21.0,33.4,34.6,2,0.00,0.0
2020-08-19,30.2,20.4,33.2,30.6,3,0.00,0.0
2020-08-20,31.0,20.4,34.9,36.7,61,3.60,5.0
2020-08-21,31.6,20.5,36.3,35.3,1,0.00,0.0
2020-08-22,30.0,21.4,35.3,28.4,53,2.50,6.0
2020-08-23,31.5,20.9,36.7,33.1,51,0.30,3.0
2020-08-24,30.1,21.4,33.9,38.2,51,0.60,5.0
2020-08-25,32.2,19.5,36.1,40.7,51,0.30,3.0
2020-08-26,30.3,21.2,31.3,48.6,51,0.10,1.0
2020-08-27,31.2,19.0,33.6,40.7,3,0.00,0.0
2020-08-28,30.9,19.3,33.6,39.2,61,5.70,12.0
2020-08-29,31.8,21.4,35.4,37.1,51,0.40,4.0
2020-08-30,31.6,20.0,35.0,42.1,51,0.10,1.0
2020-08-31,31.7,19.2,36.1,45.0,51,0.10,1.0
2020-09-01,30.1,20.2,32.4,39.2,55,3.10,7.0
2020-09-02,28.0,22.4,32.0,32.4,55,9.30,16.0
2020-09-03,29.3,22.3,33.4,28.1,63,6.80,15.0
2020-09-04,31.0,22.2,35.8,29.5,63,8.60,19.0
2020-09-05,30.8,22.1,34.2,38.5,51,0.50,5.0
2020-09-06,31.3,21.6,34.1,34.6,51,0.80,7.0
2020-09-07,29.4,22.3,32.8,31.0,53,3.90,21.0
2020-09-08,32.6,21.0,36.5,36.7,53,1.20,5.0
2020-09-09,32.7,21.5,36.6,38.2,51,0.70,2.0
2020-09-10,29.6,20.9,33.1,36.0,51,2.50,12.0
2020-09-11,29.2,20.5,31.9,33.8,51,1.50,7.0
2020-09-12,30.6,20.8,33.1,41.8,3,0.00,0.0
2020-09-13,29.5,21.4,31.2,35.6,53,2.90,13.0
2020-09-14,30.5,20.8,33.2,36.0,51,0.20,2.0
2020-09-15,31.8,20.5,33.4,40.7,3,0.00,0.0
